,V1,V2
496,"AAVIK T, 2008, APPLIED VEGETATION SCIENCE",3
386,"AAVIK T, 2010, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
66,"ABU-ZREIG M, 2003, JOURNAL OF ENVIRONMENTAL QUALITY",2
157,"ADAMS HL, 2013, THE JOURNAL OF WILDLIFE MANAGEMENT",1
622,"ADHIKARI P, 2014, SOIL SCIENCE SOCIETY OF AMERICA JOURNAL",2
666,"AGUIAR TR, 2015, AGRICULTURAL WATER MANAGEMENT",2
365,"AHERN RG, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
413,"AL-WADAEY A, 2012, WATER, AIR, & SOIL POLLUTION",2
743,"ALAIN B, 2006, LANDSCAPE ECOLOGY",3
779,"ALEBEEK FAN, 2003, ",4
411,"ALEBEEK FAN, 2006, ",4
42,"ALIGNIER A, 2015, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
516,"ALLAIRE SE, 2015, PLOS ONE",2
51,"ALTEWISCHER A, 2015, ACTA ORNITHOLOGICA",3
244,"AMY SR, 2015, BASIC AND APPLIED ECOLOGY",3
653,"ANANYEVA N, 2008, MIKROBIOLOGIIA",5
325,"ANANYEVA ND, 2008, MICROBIOLOGY",5
122,"ANDERSEN A, 1997, JOURNAL OF APPLIED ENTOMOLOGY",4
786,"ANDERSON A, 2012, INSECT CONSERVATION AND DIVERSITY",3
177,"ANDERSON SH, 2008, AGROFORESTRY SYSTEMS",2
776,"ANJUM-ZUBAIR M, 2010, AGRICULTURAL AND FOREST ENTOMOLOGY",4
109,"ANJUM‐ZUBAIR M, 2010, AGRICULTURAL AND FOREST ENTOMOLOGY",4
691,"ANJUM‐ZUBAIR M, 2015, AGRICULTURAL AND FOREST ENTOMOLOGY",4
373,"ARANGO CP, 2008, JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY",2
309,"ARNOLD GL, 2004, JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY",2
656,"ARNOLD GW, 1983, THE JOURNAL OF APPLIED ECOLOGY",1
624,"ARORA K, 1996, TRANSACTIONS OF THE ASAE",2
829,"ARORA K, 2003, TRANSACTIONS OF THE ASAE",2
152,"ASCHWANDEN J, 2007, WILDLIFE BIOLOGY",3
89,"ASTERAKI EJ, 1995, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
191,"ASTERAKI EJ, 2004, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
289,"ATAKAN E, 2010, PHYTOPARASITICA",4
36,"AVIRON S, 2010, RESTORATION ECOLOGY",3
835,"BÄCKMAN JPC, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
439,"BÜCHI R, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
641,"BADENHAUSSER I, 2012, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
790,"BADENHAUSSER I, 2015, ARTHROPOD-PLANT INTERACTIONS",3
362,"BAHLAI CA, 2010, ENVIRONMENTAL ENTOMOLOGY",4
589,"BAILEY A, 2013, LAND USE POLICY",2
419,"BAINES M, 1998, ECOGRAPHY",4
795,"BAKER D, 2012, JOURNAL OF APPLIED ECOLOGY",3
137,"BALENT G, 1992, LANDSCAPE ECOLOGY",1
390,"BALESTRINI R, 2011, ECOLOGICAL ENGINEERING",2
808,"BALOG A, 2007, ",4
78,"BANGURA A, 2015, AMERICAN JOURNAL OF EXPERIMENTAL AGRICULTURE",1
471,"BARBIR J, 2015, AGRICULTURAL AND FOREST ENTOMOLOGY",4
202,"BARONE M, 2003, OECOLOGIA",4
730,"BASSA M, 2011, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
481,"BASSA M, 2012, BIODIVERSITY AND CONSERVATION",3
145,"BATÁRY P, 2010, BIOLOGICAL CONSERVATION",3
799,"BATES FS, 2009, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
561,"BAVERSTOCK J, 2007, JOURNAL OF INVERTEBRATE PATHOLOGY",3
265,"BECK W, 2013, AGROFORESTRY SYSTEMS",2
330,"BECKMANN JP, 2001, ",1
107,"BEEK C, 2007, NUTRIENT CYCLING IN AGROECOSYSTEMS",2
841,"BELL JR, 1999, JOURNAL OF ARACHNOLOGY",4
570,"BELL JR, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
735,"BELL JR, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT-a",4
584,"BELTRAMO J, 2006, BRAZILIAN JOURNAL OF BIOLOGY = REVISTA BRASLEIRA DE BIOLOGIA",4
544,"BENCE SL, 2003, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
305,"BERESWILL R, 2012, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",2
602,"BERESWILL R, 2013, ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY",2
250,"BERGES SA, 2010, AGROFORESTRY SYSTEMS",1
95,"BERGES SA, NA, IOWA STATE UNIVERSITY",2
507,"BERGFUR J, 2012, JOURNAL OF ENVIRONMENTAL QUALITY",2
704,"BESNARD AG, 2014, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
271,"BHARATI L, 2002, AGROFORESTRY SYSTEMS",2
200,"BHARATI L, NA, IOWA STATE UNIVERSITY",2
541,"BIANCHI FJJA, 2008, BIOLOGICAL CONTROL",4
31,"BIRKHOFER K, 2013, INSECT CONSERVATION AND DIVERSITY",3
251,"BISSONNAIS YL, 2004, AGRONOMIE",2
431,"BLAGODATSKII SA, 2008, MICROBIOLOGY",5
613,"BLAKE RJ, 2010, JOURNAL OF INSECT CONSERVATION",3
644,"BLAKE RJ, 2011, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
214,"BLAKE RJ, 2011, PEST MANAGEMENT SCIENCE",3
796,"BLAKE RJ, 2012, AGRICULTURAL AND FOREST ENTOMOLOGY",3
241,"BLANCO-CANQUI H, 2004, SOIL SCIENCE SOCIETY OF AMERICA JOURNAL",2
619,"BLANCO-CANQUI H, 2004, SOIL SCIENCE SOCIETY OF AMERICA JOURNAL-a",2
718,"BLANCO-CANQUI H, 2014, AGRONOMY JOURNAL",2
457,"BLANK PJ, 2011, THE JOURNAL OF WILDLIFE MANAGEMENT",1
754,"BLANK TH, 1967, THE JOURNAL OF ANIMAL ECOLOGY",1
274,"BLATTEL CR, 2005, JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION",2
131,"BLATTEL CR, 2009, CASTANEA",2
478,"BLOIS S, 2002, BIOLOGICAL CONSERVATION",1
45,"BLOMQVIST MM, 2009, BASIC AND APPLIED ECOLOGY",3
502,"BODAH BW, 2013, ",2
111,"BOKENSTRAND A, 2004, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
41,"BOLDES U, 2002, JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS",1
281,"BOLLINGER EK, 1985, THE JOURNAL OF WILDLIFE MANAGEMENT",1
68,"BORIN M, 2002, ENVIRONMENTAL POLLUTION (BARKING, ESSEX : 1987)",2
543,"BORIN M, 2004, ENVIRONMENTAL POLLUTION (BARKING, ESSEX : 1987)",2
747,"BORIN M, 2005, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",2
397,"BORIN M, 2010, EUROPEAN JOURNAL OF AGRONOMY",2
130,"BOTÍAS C, 2015, ENVIRONMENTAL SCIENCE & TECHNOLOGY",4
564,"BOUGHEY KL, 2011, BIOLOGICAL CONSERVATION",3
57,"BOUTIN C, 1998, ECOLOGICAL APPLICATIONS",1
635,"BOUTIN C, 2001, CANADIAN JOURNAL OF PLANT SCIENCE",1
675,"BOUTIN C, 2003, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",1
147,"BOUTIN C, 2006, CANADIAN JOURNAL OF PLANT SCIENCE",1
153,"BOUTIN C, 2009, ÉCOSCIENCE",4
710,"BOWDEN J, 1977, THE JOURNAL OF APPLIED ECOLOGY",4
347,"BOWIE MH, 2014, NEW ZEALAND JOURNAL OF ZOOLOGY",4
606,"BOWLING SA, 2013, THE JOURNAL OF WILDLIFE MANAGEMENT",1
43,"BRADBURN BN, 2010, JOURNAL OF SOIL AND WATER CONSERVATION",2
225,"BRADBURY RB, 2000, JOURNAL OF APPLIED ECOLOGY",1
272,"BRADLEY RL, 2011, APPLIED SOIL ECOLOGY",2
314,"BRAMBILLA M, 2009, BIOLOGICAL CONSERVATION",1
61,"BRAMBILLA M, 2009, ORNIS FENNICA",1
636,"BRAUER D, 2012, COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS",2
96,"BRIGHT JA, 2015, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
428,"BRO E, 2004, JOURNAL OF APPLIED ECOLOGY",3
660,"BROUGHTON RK, 2014, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
199,"BROWN KW, 1971, AGRICULTURAL METEOROLOGY",1
10,"BRUGGISSER OT, 2012, BASIC AND APPLIED ECOLOGY",3
48,"BRYAN GG, 1991, AMERICAN MIDLAND NATURALIST",1
721,"BRYAN GG, 1994, ",1
412,"BU XL, 2016, JOURNAL OF SOIL AND WATER CONSERVATION",2
148,"BUCKINGHAM DL, 1999, BIRD STUDY",1
687,"BUDDLE CM, 2004, THE AMERICAN MIDLAND NATURALIST",4
88,"BUNER F, 2005, BIOLOGICAL CONSERVATION",1
665,"BUREL F, 1992, LANDSCAPE ECOLOGY",4
127,"BUREL F, 1995, LANDSCAPE AND URBAN PLANNING",1
339,"BUREL F, 1996, CRITICAL REVIEWS IN PLANT SCIENCES",4
341,"BURGESS MD, 2015, JOURNAL OF ORNITHOLOGY",3
228,"BURGIO G, 2015, ENVIRONMENTAL ENTOMOLOGY",3
47,"BURT CD, 2012, WATER AND ENVIRONMENT JOURNAL",2
76,"BURT T, 1999, HYDROLOGICAL PROCESSES",2
363,"BURT TP, 2002, JOURNAL OF HYDROLOGY",2
243,"BUTET A, 2006, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
406,"C.F.G. T, 2001, JOURNAL OF APPLIED ECOLOGY",4
215,"CÁRDENAS M, 2015, ENVIRONMENTAL ENTOMOLOGY",4
246,"CAMPAGNE P, 2006, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",1
204,"CANAVELLI SB, 2014, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
103,"CANTERS KJ, 1999, LANDSCAPE AND URBAN PLANNING",4
682,"CAO L, 2015, SOIL AND TILLAGE RESEARCH",2
161,"CARDARELLI E, 2014, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
524,"CARDINALI A, 2013, INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY",2
758,"CARDINALI A, 2014, APPLIED SOIL ECOLOGY",2
537,"CARMONA DM, 1999, ENVIRONMENTAL ENTOMOLOGY",4
490,"CARNOVALE D, 2015, APPLIED SOIL ECOLOGY",1
62,"CARON E, 2010, JOURNAL OF ENVIRONMENTAL QUALITY",2
547,"CARVELL C, 2004, BIOLOGICAL CONSERVATION",3
787,"CARVELL C, 2006, APIDOLOGIE",3
30,"CARVELL C, 2006, JOURNAL OF APPLIED ECOLOGY",3
348,"CARVELL C, 2011, ECOLOGICAL APPLICATIONS : A PUBLICATION OF THE ECOLOGICAL SOCIETY OF AMERICA",3
279,"CAUBEL V, 2003, HYDROLOGICAL PROCESSES",2
198,"CAUBEL-FORGET V, 2001, COMPTES RENDUS DE L'ACADÉMIE DES SCIENCES - SERIES IIA - EARTH AND PLANETARY SCIENCE",2
809,"CAUWER BD, 2005, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
59,"CAUWER BD, 2006, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
287,"CAUWER BD, 2006, AGRONOMY FOR SUSTAINABLE DEVELOPMENT",2
332,"CAUWER BD, 2006, NJAS: WAGENINGEN JOURNAL OF LIFE SCIENCES",3
468,"CAUWER BD, 2008, WEED RESEARCH",3
510,"CERESA F, 2012, BIRD STUDY",3
825,"CEY EE, 1999, JOURNAL OF CONTAMINANT HYDROLOGY",2
334,"CHAPMAN EW, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",2
725,"CHAUBEY I, 1994, TRANSACTIONS OF THE ASAE",2
23,"CHAUBEY I, 1995, TRANSACTIONS OF THE ASAE",2
290,"CHEN B, 2015, JOURNAL OF HYDROLOGY",2
723,"CHEN ZS, 2008, ",2
84,"CHENDEV YG, 2015, EURASIAN SOIL SCIENCE",1
342,"CHRISTENSEN JR, 2013, ENVIRONMENTAL MANAGEMENT",2
464,"CHU B, NA, UNIVERSITY OF MISSOURI LIBRARIES",2
34,"CLEWS E, 2010, AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS",2
651,"CLEWS E, 2010, AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS-a",2
210,"COEUR DL, 1997, LANDSCAPE AND URBAN PLANNING",1
224,"COLE LJ, 2007, BIODIVERSITY AND CONSERVATION",3
669,"COLE LJ, 2014, ",3
63,"COLI WM, 1994, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
237,"COLLINS KE, 2012, RESTORATION ECOLOGY",2
646,"COLLINS KL, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
581,"COLLINS KL, 2003, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
424,"COLLINS R, 2004, NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH",2
5,"CONOVER RR, 2007, JOURNAL OF WILDLIFE MANAGEMENT",1
679,"CONOVER RR, 2009, THE WILSON JOURNAL OF ORNITHOLOGY",1
459,"CONOVER RR, 2011, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",1
567,"CONOVER RR, 2011, WILDLIFE SOCIETY BULLETIN",1
179,"CONOVER RR, 2014, THE AMERICAN MIDLAND NATURALIST",1
717,"COOK PS, 1995, LANDSCAPE AND URBAN PLANNING",1
631,"COOPER AB, 1984, NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH",2
360,"CORBIT M, 1999, JOURNAL OF ECOLOGY",1
611,"CORDEAU S, 2011, WEED RESEARCH",3
326,"CORDEAU S, 2012, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
52,"CORNULIER T, 2010, METHODS IN ECOLOGY AND EVOLUTION",3
724,"COSTA WAJMD, 2005, AGROFORESTRY SYSTEMS",2
12,"COX R, 2014, ENVIRONMENTAL ENTOMOLOGY",4
258,"COX WA, 2014, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",1
297,"CRANMER L, 2011, OIKOS",1
105,"CRITCHLEY CNR, 2004, BIOLOGICAL CONSERVATION",3
421,"CRITTENDEN S, 2015, EUROPEAN JOURNAL OF SOIL BIOLOGY",3
839,"CROXTON PJ, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",1
333,"CROXTON PJ, 2002, BIOLOGICAL CONSERVATION",3
166,"CROXTON PJ, 2005, BIOLOGICAL CONSERVATION",3
648,"CULLUM RF, 2007, SOIL AND TILLAGE RESEARCH",2
293,"CZARNECKA J, 2012, ACTA AGROBOTANICA",3
449,"DABNEY SM, 2009, SOIL SCIENCE SOCIETY OF AMERICA JOURNAL",2
639,"DABNEY SM, 2012, SOIL SCIENCE SOCIETY OF AMERICA JOURNAL",2
617,"DANDIE CE, 2011, FEMS MICROBIOLOGY ECOLOGY",2
503,"DANIELSON SD, 2000, JOURNAL OF ENTOMOLOGICAL SCIENCE",1
324,"DAVEY CM, 2010, BIRD STUDY",3
21,"DAVEY CM, 2010, IBIS",3
470,"DAVIDSON MM, 2015, NEW ZEALAND PLANT PROTECTION",3
685,"DAVIS BNK, 1967, BIRD STUDY",1
173,"DAVIS JH, 2007, JOURNAL OF ENVIRONMENTAL QUALITY",2
798,"DAVROS NM, 2006, WILDLIFE SOCIETY BULLETIN",1
810,"DEASY C, 2010, AGRICULTURAL SYSTEMS",2
783,"DEBRAS JF, 2008, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
132,"DECKERS B, 2004, ACTA OECOLOGICA",1
746,"DELATTRE P, 2009, MAMMAL RESEARCH",1
163,"DELATTRE T, 2013, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
797,"DENISOW B, 2015, JOURNAL OF APICULTURAL SCIENCE",3
387,"DENNIS P, 1992, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
760,"DENNIS P, 1994, THE JOURNAL OF APPLIED ECOLOGY",4
94,"DENYS C, 2002, OECOLOGIA",4
737,"DERCON G, 2006, SOIL AND TILLAGE RESEARCH",2
667,"DEROCLES SAP, 2014, MOLECULAR ECOLOGY",4
612,"DIX ME, 1997, JOURNAL OF SUSTAINABLE AGRICULTURE",1
706,"DMOWSKA E, 2007, POLISH JOURNAL OF ECOLOGY",4
658,"DOANE JF, 1979, THE CANADIAN ENTOMOLOGIST",4
278,"DOLLAR JG, 2012, JOURNAL OF INSECT CONSERVATION",3
587,"DOLLAR JG, 2014, JOURNAL OF INSECT CONSERVATION",3
657,"DOSSKEY M, 2015, JOURNAL OF SOIL AND WATER CONSERVATION",2
380,"DOSSKEY MG, 2007, JOURNAL OF SOIL AND WATER CONSERVATION",2
302,"DOUGLAS DJT, 2009, JOURNAL OF APPLIED ECOLOGY",3
446,"DOUSSET S, 2010, ENVIRONMENTAL POLLUTION (BARKING, ESSEX : 1987)",2
814,"DOVER JW, 1996, THE JOURNAL OF APPLIED ECOLOGY",1
164,"DOVER JW, 1997, JOURNAL OF INSECT CONSERVATION",1
20,"DUCEY TF, 2013, THE OPEN MICROBIOLOGY JOURNAL",2
125,"DUCROS CMJ, 2003, ENVIRONMENTAL MANAGEMENT",2
284,"DUKES MD, 2003, JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING",2
357,"DUNN AM, 2010, THE SCIENCE OF THE TOTAL ENVIRONMENT",2
139,"DURIEZ O, 2005, BIOLOGICAL CONSERVATION",3
345,"DURNER GM, 1993, THE JOURNAL OF WILDLIFE MANAGEMENT",1
350,"EGEH MH, NA, IOWA STATE UNIVERSITY",2
71,"EGGENSCHWILER L, 2012, AGRONOMY FOR SUSTAINABLE DEVELOPMENT",3
846,"EGHBALL B, 2000, JOURNAL OF SOIL AND WATER CONSERVATION",2
604,"EKROOS J, 2008, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
420,"EKROOS J, 2012, ECOGRAPHY",3
780,"ENANGA EM, 2010, WATER, AIR, & SOIL POLLUTION",2
82,"ENTRY JA, 2000, JOURNAL OF ENVIRONMENTAL QUALITY",2
610,"ENTRY JA, 2000, JOURNAL OF ENVIRONMENTAL QUALITY-a",2
711,"ERNOULT A, 2013, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
720,"EVANS KO, 2013, THE JOURNAL OF WILDLIFE MANAGEMENT",1
222,"EVANS KO, 2014, CONSERVATION BIOLOGY : THE JOURNAL OF THE SOCIETY FOR CONSERVATION BIOLOGY",1
536,"EVANS KO, 2014, WILDLIFE SOCIETY BULLETIN",1
207,"EVRARD O, 2008, EARTH SURFACE PROCESSES AND LANDFORMS",2
823,"EWALD JA, 2010, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
699,"EYBERT MC, 1995, BIOLOGICAL CONSERVATION",1
535,"EYRE M, 2010, BULLETIN OF ENTOMOLOGICAL RESEARCH",4
629,"EYRE M, 2013, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
417,"EYRE MD, 2009, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
349,"EYRE MD, 2010, ORGANIC AGRICULTURE",3
383,"FÖLDESI R, 2014, BIOLOGIA",3
2,"FAANES CA, 1982, RESOURCE PUBLICATION",1
484,"FABIAN Y, 2013, THE JOURNAL OF ANIMAL ECOLOGY",3
702,"FACEY SL, 2014, INSECT CONSERVATION AND DIVERSITY",3
614,"FAN J, 2015, INTERNATIONAL JOURNAL OF SEDIMENT RESEARCH",2
553,"FARGUE-LELIÈVRE A, 2011, ECOLOGICAL MODELLING",3
427,"FEAGLEY SE, 1992, JOURNAL OF PLANT NUTRITION",2
674,"FEBER RE, 1996, THE JOURNAL OF APPLIED ECOLOGY",3
469,"FEEHAN J, 2005, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
113,"FELTHAM H, 2015, ECOLOGY AND EVOLUTION",3
769,"FERRIS GK, 2014, ",1
393,"FIELD R, 2005, BIODIVERSITY AND CONSERVATION",3
138,"FIELD R, 2006, BIODIVERSITY AND CONSERVATION",3
8,"FIELD RG, 2006, BIODIVERSITY AND CONSERVATION",3
630,"FIENER P, 2003, JOURNAL OF ENVIRONMENTAL QUALITY",2
353,"FIENER P, 2005, JOURNAL OF HYDROLOGY",2
460,"FIENER P, 2006, SOIL AND TILLAGE RESEARCH",2
533,"FIENER P, 2009, JOURNAL OF ENVIRONMENTAL QUALITY",2
472,"FISCHER JR, 2010, TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY",2
319,"FISHER K, 2014, JOURNAL OF ENVIRONMENTAL QUALITY",2
767,"FITZGIBBON CD, 1997, THE JOURNAL OF APPLIED ECOLOGY",3
784,"FOLLAIN S, 2007, GEODERMA",1
816,"FOLLAIN S, 2009, GEODERMA",1
22,"FORTIER J, 2010, BIOMASS AND BIOENERGY",2
708,"FORTIER J, 2013, SPRINGERPLUS",2
664,"FORTIER J, 2015, JOURNAL OF ENVIRONMENTAL MANAGEMENT",2
655,"FOURNIER E, 1999, ECOGRAPHY",4
559,"FOURNIER E, 2001, ECOLOGICAL ENTOMOLOGY",4
